_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organization:37930,2023-04-04,5,0
urn:li:organization:10043,2023-04-04,24,0
urn:li:organizationBrand:28981048,2023-04-04,17,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:10043,2023-04-04,83,0
urn:li:organizationBrand:25736,2023-04-04,190,0
urn:li:organization:18124695,2023-04-04,6,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,4638,0
urn:li:organizationBrand:25736,2023-04-04,966,0
urn:li:organization:18124695,2023-04-04,7,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,4,0
urn:li:organization:37930,2023-04-04,27,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organization:18124695,2023-04-04,2,0
urn:li:organization:10043,2023-04-04,71,0
urn:li:organization:37930,2023-04-04,8,0
urn:li:organization:18124695,2023-04-04,6,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:18124695,2023-04-04,14,0
urn:li:organization:10043,2023-04-04,12450,0
urn:li:organization:25736,2023-04-04,36,0
urn:li:organization:18124695,2023-04-04,2,0
urn:li:organizationBrand:28981048,2023-04-04,3,0
urn:li:organization:18124695,2023-04-04,8,0
urn:li:organization:10043,2023-04-04,23,0
urn:li:organization:37930,2023-04-04,106,0
urn:li:organizationBrand:25736,2023-04-04,474,0
urn:li:organization:37930,2023-04-04,33,0
urn:li:organization:37930,2023-04-04,5,0
urn:li:organization:37930,2023-04-04,9,0
urn:li:organization:10043,2023-04-04,15,0
urn:li:organization:25736,2023-04-04,16,0
urn:li:organization:25736,2023-04-04,2660,0
urn:li:organization:10043,2023-04-04,1096,0
urn:li:organizationBrand:25736,2023-04-04,37,0
urn:li:organization:18124695,2023-04-04,8,0
urn:li:organizationBrand:28981048,2023-04-04,11,0
urn:li:organization:25736,2023-04-04,164,0
urn:li:organization:18124695,2023-04-04,4,0
urn:li:organization:37930,2023-04-04,13,0
urn:li:organizationBrand:25736,2023-04-04,68,0
urn:li:organization:18124695,2023-04-04,196,0
urn:li:organizationBrand:28981048,2023-04-04,771,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organization:37930,2023-04-04,7,0
urn:li:organization:10043,2023-04-04,16,0
urn:li:organization:10043,2023-04-04,23,0
urn:li:organization:25736,2023-04-04,21,0
urn:li:organization:37930,2023-04-04,43,0
urn:li:organizationBrand:28981048,2023-04-04,6,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organization:37930,2023-04-04,6,0
urn:li:organization:25736,2023-04-04,44,0
urn:li:organization:10043,2023-04-04,44,0
urn:li:organizationBrand:28981048,2023-04-04,4,0
urn:li:organization:25736,2023-04-04,95,0
urn:li:organization:25736,2023-04-04,9,0
urn:li:organization:37930,2023-04-04,4,0
urn:li:organization:18124695,2023-04-04,7,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organizationBrand:25736,2023-04-04,95,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organizationBrand:28981048,2023-04-04,5,0
urn:li:organization:25736,2023-04-04,45,0
urn:li:organizationBrand:25736,2023-04-04,66,0
urn:li:organization:10043,2023-04-04,20,0
urn:li:organizationBrand:25736,2023-04-04,50,0
urn:li:organization:10043,2023-04-04,15,0
urn:li:organization:37930,2023-04-04,4,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organizationBrand:28981048,2023-04-04,52,0
urn:li:organizationBrand:25736,2023-04-04,9,0
urn:li:organization:10043,2023-04-04,26,0
urn:li:organization:37930,2023-04-04,76,0
urn:li:organization:10043,2023-04-04,19,0
urn:li:organization:37930,2023-04-04,4,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organizationBrand:28981048,2023-04-04,12,0
urn:li:organization:37930,2023-04-04,28,0
urn:li:organizationBrand:25736,2023-04-04,44,0
urn:li:organization:18124695,2023-04-04,10,0
urn:li:organization:18124695,2023-04-04,3,0
urn:li:organization:37930,2023-04-04,6,0
urn:li:organizationBrand:25736,2023-04-04,12,0
urn:li:organizationBrand:25736,2023-04-04,41,0
